File Name,Idetifier ,Side,Document Title,Document Author,Publication Date,File Type,File Sixe (MB),Keywords,Notes
Front,"""To the Public""",Front of Doc,Proposal for a Bank 1781,United States Congress,05/28/1781,JPG,10.1,"Robert Morris, National Bank, Bank, Continental Congress, Economic History, 1781, Broadside",Ghost writing is present esspecially on bottom third of broadside
Back,"""Proposal for a Bank""",Back of Doc,Proposal for a Bank 1781,United States Congress,05/28/1781,JPG,14.4,"Proposal, Bank","Ghost writing is present, writing likley from a collector "
